14404,4813
16326,5456
14899,5222
2468,4377
16788,7422
13968,5081
16610,4503
15868,6259
5219,5529
634,4437
16778,5404
6066,7546
3240,4377
14101,4695
6386,6424
5257,9233
428,10417
15800,4737
9233,6939
8585,1
15381,4754
8771,5036
3751,11790
4242,4449
9528,4597
11220,4432
6975,7606
8885,4695
17974,7132
16163,5855
3858,9596
9685,7113
10106,1
9601,4377
7623,7947
13346,7398
4881,4380
16925,6923
18679,10214
924,5545
4660,5404
18121,4377
12142,7159
573,10948
12460,4889
9548,4572
1788,5144
2326,1
12825,5729
8617,4520
9293,4401
1941,4404
5855,4913
16257,5724
1254,6099
1897,4669
8254,5052
14420,6260
8630,4714
10700,5406
12757,4544
5375,10272
13086,4377
2217,6834
9578,4827
961,5189
14259,4401
12396,5476
13061,6269
3054,1
17840,5073
8162,4980
15893,4545
11296,7583
1852,4449
16681,7532
4282,4961
5160,5465
1284,4428
9347,4705
7488,4376
18464,4548
14481,10531
15022,4833
13755,7813
6922,4376
2630,4730
4717,6099
12790,5547
16505,5210
16595,10314
11240,5453
10629,4377
16604,4521
13924,4667
1021,1
1638,5995
4188,4425
14469,5485
6540,4785
11026,6959
8152,4905
16598,5509
1915,4593
15341,6659
471,6729
4926,6112
12092,4383
3449,5652
15266,4451
4567,4937
16510,4447
12900,10000000
6118,4942
15427,4453
112,6457
15801,7184
3229,5263
12471,5294
3271,4401
16599,5404
11090,10905
16470,5127
10308,9913
7091,10000000
9724,5286
8971,6808
15292,7221
15117,4473
6827,6803
9381,5097
18028,6120
4278,11342
16971,4380
1985,4941
12721,5595
17779,1
16698,6661
9428,4724
12024,4409
7246,5113
1335,4524
7923,6928
5424,1
13570,5327
11580,6721
16010,10607
10492,4497
10396,4596
13085,4521
17532,8988
14602,4425
16879,9547
8518,4695
13055,5054
1546,4472
12204,6536
15008,5712
5381,4452
14332,5009
4310,4452
2503,4617
659,10416
10929,4453
10641,4473
9695,4485
15443,4539
10567,4436
10864,5416
